number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
1376		3		19					19
1378		5		22					22
1379		5		18				2	16
1380		3		11				1	10
1381		5		11					11
1383		5		7					7
1397		3		7					7
1401		1		4				1	3
1403		3		13			1	4	10
1482		2		3		3			
1507		2		3		3			
1516		1					2		2
1521		2					1		1
1523		4					1		1
1608		3		1				1	
1621		3		4					1
1974		3		6		2			4
2311		1		2	1	1			
2325		1		1					1
2326		2		2					2
2336		4		2		1			1
2338		3		4				1	3
2339		5		3			1		4
2340		3		8		1			7
2343		4		3					3
2344		1		5					5
2346		1		1					1
2347		2		2					2
2351		5		10		7	1		4
2352		2		1				1	
2353		5		1					1
2355		1		6					6
2358		2		2					2
2359		2		3		1			2
2361		1		3					3
2362		2		5		3			2
2363		3		4		1	1		4
2365		6		5		3			
2367		2		4		1			
2368		4		5	1			1	4
2375		5		4		1			3
2376		1		1		1			
2377		4		4				2	2
2381		1		2			1		3
2385		1		1		1			
2394		2		3		1			1
2396		1		1					1
2397		1		6		1		1	4
2398		4		6		6			
2399		3		2				1	1
2400		6		5					5
2401		2		3					3
2402		2		2		1	3		4
2404		5		2		1			1
2406		3		4					1
2407		4		5				1	4
2408		2		7		1			6
2412		5		7				3	4
2415		4		4				2	2
2416		1		2					2
2417		5		3					3
2418		4		3					3
2420		3		4		1			3
2421		3		3					3
2422		1		2		1		1	
2423		4		3		2		1	
2424		4		2		1			1
2426		6		2				1	1
2427		4		2				1	1
2428		4		5		1			4
2429		1		2			2	1	3
2436		2		6	1	1		1	4
2437		4		1					1
2438		1		3					3
2439		1		5		2		1	2
2440		5		1					1
2443		2		2		1		1	
2445		2		4			1	1	4
2447		3		2					2
2452		5		1					1
2453		5		1					1
2454		1		2				2	
2456		3		1		1			
2458		2		2			1		3
2459		2		5					5
2460		7		2		1		1	
2463		5		1				1	
2486		2		4		1			3
2491		3		3		1			2
2496		1		4		1			3
2497		5		3		1			2
2500		1		3		1	1	2	1
2502		1		1					1
2503		1		4		2	1	2	1
2504		4		1				1	
2505		3		1					1
2508		1		1					1
2509		4		3		1		1	1
2511		6					1		1
2515		7		1					1
2518		1		2					2
2519		2		5	1			1	4
2523		1		1					1
2525		1		3					3
2529		2		1					1
2530		4		1					1
2531		6		3					2
2532		1		2		1			1
2533		7		1					1
2535		2		2				1	1
2536		1		3					3
2537		1		2					2
2541		1		1			1		2
2542		4		1					1
2546		3		2		1	1		2
2559		6		1					1
2560		3		3	1			1	2
2561		2		6		1			5
2562		4		4		1			3
2565		3		4					4
2567		1		2					2
2568		2		6		1	1	3	3
2570		4		4					4
2571		3		2					2
2572		4		2				1	1
2573		1		1				1	
2574		3		91	1	2		2	87
2578		3		2					2
2580		2		2		1			1
2581		1		2				1	1
2582		4		1					1
2585		2		2					2
2586		5		3			1		4
2587		1		1					1
2589		1		1				1	
2590		1		1			1		2
2591		1		1				1	
2592		2		1					1
2595		7		2					2
2596		2		1					1
2601		5		2				1	1
2602		4		4		2			2
2603		3		3		1			2
2604		5		4					4
2610		1		4		1		1	2
2611		5		1					1
2613		1		7					7
2614		2		7		1	1	1	6
2615		2		3					3
2617		2		6					6
2618		4		1					1
2625		3		6		1		3	2
2627		1		1					1
2629		2		1		1			
2631		2		2					2
2632		4		3					3
2633		2		3					3
2634		1		3					3
2635		6		3		1			2
2636		2		2					2
2638		4		2					2
2639		4		8				1	7
2640		3		2					2
2641		5		1		1	1		1
2642		3		4		1	2		5
2643		2		1					1
2644		2		3					3
2646		2		3					3
2648		1		4					4
2649		4		5					5
2650		4		4				1	3
2651		3		3				1	2
2652		3		9		1			8
2653		5		5			1		6
2654		3		1					1
2655		2		3					3
2656		2		4					4
2657		3		5				1	4
2658		2		3		1	1		3
2659		3		1					1
2660		5		1					1
2661		7		4		1			3
2662		3		3		1			2
2663		4		2					2
2664		1		1	1			1	
2666		2		1					1
2667		5		5					5
2668		3		3		1			2
2669		4		3			1		4
2670		5		4			1		5
2673		3		7				3	4
2674		2		3					3
2675		2		6					6
2677		2		2				1	1
2678		1		4		1			5
2679		5		5					5
2681		3		4					4
2682		3		1					1
2684		1		1					1
2685		3		4		1			3
2687		2		3					3
2688		8		4		1		1	2
2689		7		3					3
2690		3		4			1		5
2691		1		2					2
2692		4		3					3
2694		1		1		1	1		1
2695		1		4		1			3
2698		2		8					8
2699		3		3					3
2700		5		1					1
2701		6		4				1	3
2702		6		2					2
2703		7		1		1			
2704		4		8				3	5
2705		6		6		1			5
2706		3		1					1
2707		1		6			1	3	4
2708		2		1					1
2710		3		8		5	1		4
2712		2		1		1			
2713		7		3					3
2714		3		5				2	2
2715		4		6		1		1	4
2716		3		2					2
2717		3		2					2
2718		3		3		1			2
2719		4		5	1			1	4
2721		3		4	1			1	3
2723		6		5				1	4
2725		4		7	1	2		1	2
2730		4		3					3
2732		6		3					3
2733		5					1		1
2734		2		3					3
2735		3		1					1
2736		2		1					1
2737		5					2		2
2738		4		4		1			3
2739		4		1					1
2740		3		4					4
2741		4		1					1
2742		1		4				1	3
2744		5		3					3
2745		4		4					4
2746		6		1					1
2747		5		5					5
2748		1		2					2
2749		3		10		1		3	6
2750		3		6					6
2751		6		7		1		1	5
2752		2		3				1	2
2753		3		1					1
2754		4		12		1		1	10
2756		3		2					2
2757		9		4					4
2758		4		4				1	3
2761		4		7		1	1		7
2762		4		8		2		3	3
2763		6		9		2			6
2764		5		6		1			5
2766		4		4					4
2767		4		15		1	2		16
2768		4		2				1	1
2769		6		1					1
2770		5		5			4	1	8
2771		2		4			1	3	2
2772		5		4					4
2774		2		5			1	2	4
2775		6		1		1			
2776		3					1		1
2777		4		1					1
2778		1		12		6		1	5
2779		4		12		2			10
2780		4		8					8
2781		3		13				2	11
2784		3		6					6
2785		1		5					5
2786		1		1					1
2787		3		1			3		4
2788		8		5					5
2789		4		14		2		5	7
2790		7		5				1	4
2792		4		7		1			6
2793		1		2		1			1
2794		7		5					5
2795		3		3					3
2798		2		8					8
2799		4		5		1	2	2	4
2800		4		5					5
2802		3		3			4	1	6
2803		3		3					3
2804		2		2					2
2806		1		2		1	1	1	1
2807		6		5				4	1
2808		3		6			2	1	6
2810		4		1				1	
2811		4		5			1	3	3
2812		1		20	1	2		1	17
2813		4		10					10
2814		5		13		1		6	6
2815		5		7		2			5
2816		2		1					1
2817		1		3					2
2819		1		5		1			4
2820		1		12		1		2	9
2821		6		3					3
2824		4		3					3
2825		3		15		1	1		15
2826		5		13		3	1	1	10
2827		4		4				1	3
2828		7		3					3
2829		6		6				1	5
2831		7		6				1	5
2832		5		13		2	1	2	10
2833		5		10					10
2835		3		2		1			1
2836		6		8		1	1		8
2839		3		2			2	1	3
2841		5		7		2	2	3	4
2842		6		7				7	
2843		7		3			1	3	1
2844		6		11		2			9
2845		5		13		3		3	7
2846		3		3			1		3
2847		1		6				1	5
2848		3		4					4
2849		1		8		2		1	5
2850		5		5		1			4
2851		2		3					3
2852		1		5					5
2853		3		7		1	2		8
2854		5		16		6		1	9
2855		4		4					
2856		1		6		1			5
2857		3		1					1
2858		4		3		1		1	1
2859		4		18		1			17
2860		5		12		5		1	6
2861		1		11		2		1	8
2864		2		5					5
2866		2		5				1	4
2867		4		10		1	1	1	9
2868		9		5		1	1	1	4
2869		6		1					1
2870		6		6		2			4
2871		8		4		1	2	2	3
2872		3		13		5	3	4	7
2873		5		9					9
2874		2		6					6
2875		6		6		1		3	2
2876		1		5				1	4
2879		8		5				2	3
2880		1		5					5
2883		3		10		4		4	2
2884		1		1			1		2
2885		1		6			1	1	6
2886		4		5					5
2887		5		4					4
2888		3		1			1		2
2890		2		8				1	7
2891		5		15				1	14
2892		1		2					2
2893		8		4					4
2894		1		9				1	8
2899		1		7			1		8
2900		6		19		7	1	1	12
2901		6		11			2	1	12
2902		1					1		1
2905		4		3		1	1		3
2906		7		6				1	5
2907		5		19		10	1	4	6
2909		7		4					4
2910		1		4				1	3
2911		6		8				2	6
2912		7		21		5	5	10	11
2913		4		8					8
2914		5		7				1	6
2915		2		19		3	3	3	16
2916		5		2					1
2919		1		2		1	5	1	5
2921		1		1			1		2
2923		5		7		1	1		7
2924		6		3			1	1	3
2925		1		9		1		3	5
2926		3		12		2		4	6
2927		3		7				1	6
2928		2		22		3		1	18
2929		3		7					7
2930		1		9			1	2	8
2931		2		7				1	6
2932		1		3					2
2933		2		5					5
2934		1		15					11
2936		5		1					1
2938		9		6			2		8
2939		5		9			1		10
2941		1		7				2	5
2942		2		7			1	2	6
2944		4		13		2		2	9
2945		5		3					3
2946		2		2					2
2948		4		4					4
2949		5		2			2	1	3
2950		1		11		3	1	2	7
2951		3		6				2	4
2952		7		9				2	7
2953		2		4		1	1	2	2
2954		3		14		1		5	8
2955		3		4				1	3
2956		5		5					5
2957		5		13		1		2	10
2958		1		5			1	1	5
2959		4		11		4			7
2960		1		1					1
2961		6		10		5	2	2	5
2962		6		4				2	2
2963		4		14					14
2964		1		4					4
2965		2		5					5
2966		1		5		1			4
2967		1		10					10
2968		1		9				1	8
2969		1		1					1
2970		8		10					10
2971		2		19		1			18
2972		2		21		3		4	14
2973		7		20				3	17
2976		3		8		1	5	2	10
2979		6		9		1		1	7
2980		2		7					7
2981		4		13		4		2	7
2982		2		5		1			4
2984		3		13			1		14
2985		2		11				2	9
2986		5		16			1	3	14
2987		7		6				3	3
2988		6		14		2	4	3	15
2991		5		11		1		1	10
2992		1		11				1	10
2993		1		6		1		1	4
2994		1		9		1		3	5
2995		5		3		1			2
2996		3		4		1			3
2997		1		8				2	6
2998		1		20		7	4	8	9
2999		6		8		2			6
3000		3		12		3	3		12
3001		1		14		2	2	2	12
3002		2		4					4
3003		3		18		3		3	12
3004		1		12					11
3005		2		16		2			14
3006		5		11					11
3007		4		20					20
3009		2		4					4
3010		10		30		1		3	26
3011		2		15		2			11
3013		3		14			3	1	7
3014		7		3					3
3015		2		21					21
3017		2		19				1	18
3018		1		11		2	1	4	6
3022		6		2			3		5
3023		2		13		1		3	9
3024		1		14		2	1	3	10
3025		4		22		2			20
3026		4		8		1			7
3028		5		8					8
3029		6		6				1	5
3030		4		8		1		2	5
3031		3		14		1		2	7
3032		1		11		2	5	5	9
3033		3		5		1			4
3034		1		6		1			5
3035		5		13		1	1	2	11
3036		4		18				1	17
3037		4		11		1	1	2	9
3038		1		23				2	21
3039		1		4		1		2	1
3040		1		10			2		12
3041		1		14					14
3042		2		6		1			5
3043		7		20	7		3	7	16
3044		1		9		1	2	1	9
3045		6		14		4	1	1	10
3046		2		14		4	3	5	8
3047		1		13					13
3048		2		16		1		3	12
3050		4		6		1			5
3051		2		10	1			1	9
3052		7		8		1	1	2	6
3053		4		4	2	1		2	1
3055		4		5		1		1	3
3056		1		13		3	2	4	7
3057		2		6				4	2
3058		1		6				2	4
3059		3		5					5
3060		5		9		2		1	6
3061		2		13	2	2		2	9
3062		1		8		3			6
3063		3		21		2			19
3064		8		12		2		1	9
3065		6		5			2	3	4
3066		1		10					10
3067		2		8		1			7
3068		2		9		1	8	4	12
3069		1		17	9	4	4	10	7
3070		2		11					11
3072		1		10			2	5	7
3073		3		13		2			11
3074		3		6			4	2	8
3075		1		14		1	2	1	14
3076		2		14		2		2	10
3077		1		10				2	8
3078		6		11		1		1	9
3079		5		10				3	7
3080		6		1					1
3081		6		10		1		3	6
3083		7		15				3	12
3084		3		14	1	1		1	12
3085		3		10				1	9
3086		1		10		1		2	6
3087		1		11			2	2	11
3088		2		7			3	3	7
3089		1		12				2	10
3090		1					2		2
3091		7		8				1	7
3092		3		8		1	6	11	2
3094		2		6					6
3096		2		6					5
3097		3		10		1		4	5
3098		2		4					12
3099		2		5		1			4
3100		1		4		1		1	2
3101		11		8		2		1	5
3102		7		11		1		6	4
3103		2		7				2	5
3104		4		8		1	1	2	6
3105		1		9	1			1	8
3106		2		2					1
3107		3		9		2		4	3
3108		3		7					7
3109		4		61		11	13	11	52
3110		3		11		2	1	2	8
3111		3		6				1	5
3113		5		5			2	3	4
3114		6		7				1	6
3115		4		7			3	3	7
3116		2		4			1		5
3117		4		4		1		1	2
3119		5		2					2
3122		2		4				1	3
3123		3		3					3
3124		3		16					16
3125		2		9					9
3126		1		5					5
3127		2		3					3
3128		1		2	1			1	1
3129		3		10		1			9
3130		1		2					2
3131		1		6		1		1	4
3132		2		7				4	3
3133		3		4					4
3135		2		7		1	3	1	7
3137		2		1		1			
3139		3		12		2		1	9
3143		3		61		4		2	55
3144		4		4		1			3
3145		6		13		4		2	7
3146		1		5		1			4
3147		2		1			1		1
3148		7		13		6	1	3	5
3149		4		10		1			9
3150		6		13				2	11
3151		2		10		6	4	1	7
3152		3		12				3	9
3153		5		4					4
3154		3		4				1	3
3155		3		5		1	7	1	10
3157		5		8		5	1	2	2
3158		1		4			2		6
3159		1		4					4
3160		4		7		1		1	5
3161		2		3					3
3162		1		4				1	3
3164		3		3					3
3165		1		2				1	1
3166		11		4		1	3	1	5
3167		3		1			1		2
3169		7		5					5
3170		4		11					11
3172		3		6		1		1	4
3175		4		10	2			2	8
3177		1		17		6		3	8
3178		2		3				3	
3179		7		3				1	2
3180		2		2				1	1
3181		5		2				1	1
3182		4		13	7			7	6
3183		8		15		5		8	2
3184		4		1					1
3185		6		10					10
3187		3		3				1	2
3188		2		3				1	2
3189		1		9	5	1	1	5	4
3196		7					2		2
3201		4		1		1			
3205		1							1
3210		7					1		1
3230		5		3					3
3231		5		4				2	2
3232		4		1					1
3238		3		4		1		1	2
3239		1		6				2	4
3242		2		1					1
3244		4		1			1	1	1
3249		2		2		1			1
3254		1		1		1	1		1
3256		1					1		1
3258		3					1		1
3259		1					1		1
3260		6		3					3
3261		5					2		2
3269		3		2					2
3270		2		3					3
3277		2		2		1			1
3279		1		2				1	1
3280		1		3				1	2
3289		2		2					2
3298		2		1					1
3299		1		2					2
3301		4		6					6
3302		4		6		1		2	3
3305		1		13		1		7	6
3306		1		5					5
3307		3		3		1			2
3309		2		5		1			4
3310		2		9					9
3313		1		8				4	4
3314		2		18		1		5	12
3315		2		17		3		7	7
3316		1		16		2			13
3317		5		9		3			6
3318		4		12	4	2		4	6
3319		5		6				1	5
3320		4		9		1			8
3321		1		15				3	12
3323		3		7					7
3324		4		8		1	1	2	6
3325		2		12		1		9	2
3326		4		15				1	14
3327		3		12			4	2	14
3328		5		21		3	2	15	5
3329		4		4				3	1
3331		2		8					8
3332		2		21				4	17
3334		1		5					5
3335		1		6		2	1	2	3
3336		4		4				1	3
3337		4		5					5
3338		4		19				4	15
3339		1		16		2		2	12
3340		2					1	1	
3341		1		30		1		8	21
3342		5		23		6	1	3	15
3345		1		13					13
3347		1		6				2	4
3348		1		7				1	6
3349		9		9			1	2	8
3351		3		7					7
3352		7		1					1
3353		4		24				1	23
3354		6		6		1			5
3355		2		17				4	13
3356		3		21				2	19
3357		1		19				3	16
3358		2		10			1	2	9
3360		3		12		1		4	7
3361		6		15		5	1	1	11
3362		3		4				3	2
3363		4		3	3			3	
3364		1		7		1			6
3365		2		11		1	2	5	8
3366		6		18		1		5	12
3367		3		20		4		3	13
3369		2		5					5
3370		1		17				4	15
3371		5		13		1	1	6	7
3372		1		15		1		5	9
3374		1		10		1		1	8
3375		1		7		1			6
3376		6		6		1			5
3377		2		7		1			6
3378		1		12		2	1	2	9
3379		1		20		2		5	13
3380		1		11					11
3381		2		6				1	5
3382		2		8			1	5	4
3383		2		8		1	1	1	7
3384		2		7			1		8
3385		1		7		4	1	2	2
3387		2		12		1	5	2	14
3388		4		6			1	2	5
3390		3		3		1			2
3391		2		5				2	3
3393		1		113	11	5	2	19	93
3394		4		5				3	2
3395		1		4				2	2
3396		1		2			1		3
3397		2		7				4	3
3398		1		5		1		1	3
3400		2		2				1	1
3401		2		17				7	10
3402		3		8		4	1	3	2
3403		1		7				1	6
3405		5		17					17
3406		1		19				5	14
3407		2		20			3	14	8
3410		1		108		23	13	22	73
3411		1		6				3	3
3412		1		10		1		2	7
3413		1		9				1	8
3414		1		12				3	9
3415		4		13		1		5	7
3417		2		4				1	3
3418		2		4			1		5
3419		1		7		1		4	2
3422		4		9		5		4	
3424		6					1	1	
3425		1		8		1	1	3	5
3426		3		7		2		2	3
3427		1		16		1			15
3428		5		14		1	1	6	7
3429		2		6			3	3	6
3431		1		9				2	7
3432		3		10		1			9
3434		4		8		1		3	4
3435		2		14			1		6
3436		2		7			1		7
3438		1		16		2		6	8
3441		2		65		9		16	40
3442		2		4				2	2
3443		2		101		41	12	23	42
3444		3		5				2	3
3446		5		9				2	7
3447		4		12					12
3448		6		10		1		1	8
3449		1		10			1	1	5
3450		2		11		3		1	7
3451		2		13				3	9
3452		3		8		2			6
3453		2		10		2	2	3	7
3454		1		1					1
3455		3		6				4	2
3456		4		11		1			10
3457		1		7					7
3458		1		16				6	10
3459		5		7		2		2	3
3460		4		22					22
3461		3		10		2		1	7
3462		5		165	7	9	5	5	150
3463		3		8				1	7
3464		3		10		1		5	4
3465		3		4		2			2
3468		2		7		4			3
3469		1		10				1	9
3470		1		9				2	7
3471		7		10		1			9
3472		2		9		1			8
3474		5		13					13
3476		1		10					10
3477		2		10		1	2	1	10
3478		2		15		1	2	1	15
3481		2		5					5
3482		1		11					11
3484		1		16		1	1	2	14
3486		2		14				1	13
3487		1		17				4	13
3488		2		10			1	1	10
3489		3		12				2	10
3490		3		4				1	2
3491		2		4					4
3492		3		7		2		1	4
3495		4		5		2			3
3496		2		8		3		1	3
3497		1		13		3			10
3498		1		16		2		4	8
3499		4		13				1	12
3500		3		19		1		4	13
3501		2		4					4
3502		2		14		1			13
3503		2		25		4		2	16
3504		2		16		3		2	11
3505		3		8				1	7
3506		3		16		1		1	14
3507		1		13		7		1	12
3508		1		13				5	7
3509		1		12			1	1	12
3510		3		16		1			
3511		3		15	1			1	14
3512		1		15				1	15
3514		1		2		1	2		3
3516		1		78		8	2	13	
3517		5		11	2		4	2	12
3520		3		11		1		2	8
3521		2		10				1	9
3523		4		8					7
3524		1		14					13
3525		1		8		2		5	1
3526		1		8					7
3527		3		11		1			10
3528		1		24		3		1	20
3529		2		4		1	1		4
3531		3		15				1	14
3532		3		11				1	10
3534		2		12		1		1	10
3535		4		12		2			10
3536		3		20					20
3537		1		13				1	12
3538		2		9					9
3539		1		21		1		2	18
3540		1		12				1	11
3541		1		12				1	11
3542		2		12			1		13
3543		4		5				1	4
3546		3		18		1	3	7	13
3547		6		3				1	2
3548		4		4					4
3550		2		10		1	2		11
3551		2		18					18
3553		4		141		15	8	5	118
3554		4		14		1			13
3555		3		15					13
3556		3		17		1			16
3558		2		12				1	11
3559		1		10					10
3560		5		10					10
3561		1		14					10
3562		2		7					7
3563		1		17				3	12
3564		2		19					19
3568		5		21		4		1	16
3569		1		13				1	12
3570		1		14				1	13
3571		1		10		1			9
3572		1		20		4	4		20
3573		1		11					11
3574		1		95		14	4	26	58
3575		2		12					12
3576		2		23				1	22
3577		3		10		1		3	6
3578		3		8					8
3579		3		13				2	11
3583		2		13					13
3584		5		20					20
3585		3		11		1		3	7
3586		3		10	4			4	6
3587		2		10					10
3588		1		10		1			9
3589		4		15		1	1		15
3590		1		13		1	1		13
3591		5		8					8
3592		2		6			2	2	6
3593		4		8					8
3594		4		11		1	1		9
3595		1		16			1	2	15
3596		1		4					4
3597		4		14		1		1	12
3598		1		16		1		2	13
3599		4		11		2		2	7
3600		1		8					8
3602		2		9		3			6
3603		1		8		1		2	5
3604		2		15		5	2	1	11
3605		1		10				3	7
3607		1		15		1		2	12
3608		2		13				1	12
3610		4		12			3	4	11
3612		3		1					1
3613		2		9		1			8
3615		3		6				3	3
3616		3		17				1	16
3617		1		2		1	1		2
3618		3		2					2
3619		3		15				5	10
3622		3		14				1	13
3623		5		11				3	8
3624		4		19		2	1	2	16
3625		3		1					1
3626		1		14					14
3628		3		15					15
3629		3		8					8
3630		2		16					16
3631		1		13		2		3	8
3632		4		12		1			11
3633		1		9		2		2	5
3634		2		91		8	1	11	73
3635		2		5				1	4
3636		1		12		2	1	1	11
3637		2		10			2	5	6
3638		2		10					10
3639		1		6				1	5
3640		4		3		1	1		3
3644		5		7					7
3645		2		6					6
3646		5		7					7
3647		1		12		5		3	4
3651		3					1		1
3654		1		7		1		3	2
3655		4					2		2
3656		4		3				2	1
3657		5		77		8		12	5
3658		2		14		3		3	8
3659		2		11		1		4	6
3660		1		5					5
3661		5		93		6	2	2	86
3662		2		7		1		2	4
3663		1		2					2
3664		1		11		1		1	9
3667		2		2					2
3668		1		11		3			8
3672		2		9					9
3673		3		1					1
3674		5		11			3	2	12
3675		3		4					4
3676		4		10				2	8
3680		5		6			1		7
3681		4		14					14
3682		3		15				1	14
3683		4		10		2	1		9
3684		3		7				1	6
3685		1		3					3
3686		2		9					9
3688		1		5				1	4
3689		1		5		1		1	3
3690		1		8		2	1	1	6
3692		2		6					6
3694		4		10					10
3696		2		7				1	6
3697		1		2					2
3698		4		8	1	1		1	6
3700		3		14	4	2		4	8
3701		1		75	13	18	6	13	48
3703		2					2		2
3704		4		9		1		1	7
3705		4					1		1
3706		6					1		1
3707		5		5	1			1	3
3708		3		9		1		1	7
3709		3		15				1	13
3710		2		17					17
3711		5		5				2	3
3712		1		4				1	3
3715		3		17				5	12
3716		1		13				8	5
3718		3		11				3	7
3720		3		3				1	1
3722		1		12		2		2	8
3723		1		6		2	1		5
3724		5		13		3		4	6
3725		2		5					5
3726		1		5		1	1		5
3727		6		8			1	5	5
3728		5		5				1	4
3729		2					2		2
3730		5		5				2	3
3731		3		3		1		1	1
3733		2		2					2
3734		6		9		1		2	6
3736		2		3	1			1	2
3737		3		8				3	5
3738		4		19				1	18
3740		3		6		1		5	
3741		1		6					6
3742		2		11		1		3	7
3745		2		5		1	2	1	5
3746		4		4		1	3	1	5
3748		1		4					4
3749		1		10		1		1	8
3750		2		4				1	3
3751		6		10				5	5
3752		3		12		1		2	9
3755		2		4				3	1
3756		2		4		1		1	2
3757		3		12				2	10
3758		3		8		3		1	4
3759		1		11				1	10
3760		5		1			1		2
3763		5		8				2	6
3764		6		8			1		4
3765		2		3					3
3766		3		12		9			3
3767		1		2			3		5
3768		4		9		3			6
3769		5		8					8
3770		1		8		2		1	
3771		3		13				2	11
3772		1		4					4
3773		2		6					6
3774		2		7				2	5
3775		5		9		1			8
3777		2		3					3
3778		5		1			2		3
3779		2		5			1		6
3780		3		1					1
3783		3		2					2
3784		4		5		1			4
3785		3		2					2
3786		3		8		1		1	6
3787		3		7	1	1		1	5
3788		4		1		1			
3789		1		4					4
3791		3		9		2		1	6
3792		5		5		2	1	1	3
3793		1		5		1			4
3794		2		10				2	8
3795		4		13		1			12
3797		1		12		3		1	8
3798		5		1					1
3799		5		9		1		1	7
3800		4		11		1			10
3801		1		10				1	9
3804		4		6				1	5
3805		7		11		1		4	6
3807		5		5				1	4
3808		3		6					6
3809		3		12				3	9
3810		2		6		1			5
3812		2		2					2
3813		5		2			1		3
3814		3		3					3
3815		4		4			2		6
3816		3		12		5	1		8
3817		3		2					2
3818		1		13					13
3819		7		20		1		2	16
3820		1		12		5	2	3	6
3821		2		14				2	12
3823		4		16				3	13
3825		1		73				25	44
3826		3		237	8	151	2	5	81
3827		6		6		2			4
3828		2		14		3		1	10
3829		4		5				3	2
3830		4		10					10
3832		3		2				1	1
3833		4		16		4		4	7
3834		3		11		1			10
3835		2		10			1		11
3836		3		13		9			4
3837		3		5					5
3838		5		8			5		13
3839		2		18		1	1	2	15
3840		5		9					9
3843		3		8		1	1		8
3846		5		13		1			12
3847		6		178	3	9	4	3	170
3848		3		7					7
3849		4		10		1		1	8
3850		1		12		1		1	10
3851		5		7		1			
3853		2		7		1			6
3854		3		20		2		4	14
3855		4		18		1	1	2	16
3856		3		4		2		1	1
3859		4		17		2			15
3860		5		11		1			9
3861		5		10		1		1	7
3862		3		2		1			1
3863		4		15		1	2	1	15
3864		2		6		2		3	1
3865		3		8		2	1	5	3
3869		3		4		1	2	1	4
3870		3		2					2
3873		2		3					2
3876		2		9				2	7
3877		3		14		3			11
3878		1		6		2		1	3
3879		1		9			1	1	9
3880		8		8			2	2	8
3881		4		10		3		2	5
3882		4		12				2	10
3883		6		2					2
3884		7		7		2		1	4
3885		5		12		2		1	9
3886		5		6				2	4
3888		4		8				1	7
3889		1		11				3	8
3891		4		3		1			2
3892		3		9		3			6
3893		4		3		1			2
3896		4		12		4	2	5	5
3897		1		15		3	2	6	8
3898		5					1		1
3899		3		1		1	1		1
3900		4		9		1		1	7
