number	number_sup	trip	trip_sup	invoice	chamber 
5102		2		268964	A
5103		2		164562	Z
5105		2		110370	A
5106		2		127181	D
5107		2		101522	A
5108		3		110370	A
5110		1		21160	A
5112		3		192449	R
5113		1		231099	A
5114		1		32449	Z
5115		1		88907	A
5116		2		39787	D
5117		1		207498	A
5118		1		189448	Z
5119		1		136414	H
5120		2		56526	H
5121		1		48766	E
5122		1		235346	A
5123		1		140348	E
5124		1		137398	Z
5125		1		145787	A
5127		1		300010	A
5128		2		60491	A
5129		1		143970	Z
5130		1		157705	Z
5131		2		249883	A
5132		3		461998	D
5133		2		87711	A
5134		1		195913	R
5135		2		123667	A
5136		1		218086	A
5137		3		37096	R
5138		2		214263	Z
5139		3		83309	
5140		1		95238	A
5141		2		118121	Z
5142		1		203256	H
5143		3		278968	A
5144		1		315137	A
5145		1		130191	H
5146		1		228100	E
5147		1		316067	A
5148		1		268324	Z
5149		1		62754	A
5150		1		275888	A
5151		3		283047	Z
5152		4		123943	Z
5153		1		151234	A
5154		1		106659	A
5155		2		211770	A
5156		1		245984	E
5157		1		129607	D
5158		4		263842	A
5159		3		130360	Z
5160		2		150933	R
5161		1		135859	D
5162		1		23499	A
5164		1		222852	D
5165		2		243588	A
5166		2		109311	Z
5167		2		199065	A
5168		2		253027	A
5169		2		264605	A
5170		2		266764	Z
5171		3		461545	A
5172		1		203729	A
5173		2		159502	A
5174		1		89443	E
5175		2		135043	H
5176		1		128150	H
5177		1		186076	A
5178		1		156885	A
5179		2		112225	D
5180		1		293422	R
5181		2		233323	E
5182		3		294093	A
5183		3		150737	Z
5184		3		433039	A
5185		1		288699	Z
5186		4		171174	Z
5187		2		177035	A
5188		2		337771	D
5189		1		431033	Z
5190		1		65350	H
5191		1		88622	R
5192		3		418677	A
5193		4		380953	A
5194		1		327961	A
5195		3		121607	R
5196		1		232676	A
5197		1		146753	Z
5198		1		147978	Z
5199		1		259802	A
5200		3		171387	A
5201		1		52060	E
5202		3		373482	D
5203		5		271031	A
5204		2		91111	H
5205		2		467899	Z
5206		4		299933	A
5207		4		277796	A
5208		2		298410	R
5209		1		348027	A
5210		1		113526	Z
5211		4		111047	A
5212		1		205971	A
5213		1		279041	A
5214		1		269212	E
5215		4		92296	A
5216		1		289881	Z
5217		1		259222	A
5218		3		252739	Z
5219		3		70239	H
5220		2		196848	A
5221		1		223057	A
5222		1		247537	A
5223		1		561391	A
5224		2		547961	Z
5225		1		347906	Z
5226		5		198880	A
5227		1		165011	H
5228		3		166064	R
5229		2		295406	A
5230		1		210352	A
5231		1		477791	A
5232		1		194400	D
5233		2		232855	E
5234		3		267379	A
5235		2		378578	A
5236		2		395947	Z
5237		1		310569	A
5238		2		167543	Z
5239		2		190098	A
5240		2		272894	A
5241		3		292758	A
5242		1		401775	Z
5243		1		688078	A
5244		1		204434	D
5245		2		159826	A
5247		2		140193	H
5248		1		136414	R
5249		4		154234	A
5250		3		210975	A
5251		4		524355	Z
5252		2		385414	A
5253		2		345335	A
5254		3		269738	E
5255		4		313514	A
5256		2		155035	Z
5257		3		422127	A
5258		1		123756	E
5259		2		566833	Z
5260		1		476862	A
5261		1		25445	A
5262		2		168441	D
5263		7		178926	H
5264		5		206237	A
5265		4		323019	A
5266		3		270731	Z
5267		3		268266	A
5268		5		655127	Z
5269		1		208783	Z
5270		4		637484	A
5271		3		493332	A
5272		2		416131	R
5273		1		117930	A
5274		3		285640	Z
5275		2		264987	A
5276		4		346599	A
5277		2		325340	E
5278		1		206247	A
5279		1		394217	Z
5280		1		227600	H
5281		1		347977	A
5282		5		302174	A
5283		2		436685	D
5284		6		174528	Z
5285		1		81038	A
5286		3		401184	A
5287		6		364572	Z
5288		4		296193	E
5289		4		388516	Z
5290		1		360084	A
5292		1		98572	H
5293		2		357101	A
5294		3		152701	R
5295		1		69679	A
5296		2		409371	H
5297		1		620646	A
5298		1		352470	Z
5299		1		625158	A
5300		4		513061	Z
5301		1		115265	A
5302		1		358775	A
5303		5		247803	A
5304		6		242615	A
5305		3		241073	E
5306		2		403372	Z
5307		3		259072	D
5308		5		255005	Z
5309		1		338489	A
5310		1		493015	A
5311		1		474010	H
5312		7		218872	A
5313		6		295388	A
5314		1		249587	R
5315		3		330928	H
5316		2		356484	Z
5317		2		314046	A
5318		2		253657	A
5319		1		410458	Z
5320		2		147346	A
5321		5		257747	E
5322		1		372058	D
5323		1		361724	A
5324		2		337387	A
5325		1		575982	Z
5326		5		301657	Z
5327		4		298915	A
5328		3		633403	A
5329		1		40680	A
5330		4		226630	E
5331		3		133820	Z
5332		2		307570	R
5333		2		348219	A
5334		2		242850	A
5335		3		343126	A
5336		2		289926	H
5337		2		468996	Z
5338		7		168474	A
5339		4		173705	H
5340		6		146325	E
5341		2		242090	A
5342		3		306554	Z
5343		3		211434	A
5344		3		274375	A
5345		6		218335	Z
5346		4		183018	A
5347		3		209497	A
5348		1		185700	D
5349		2		239630	D
5350		5		146919	E
5351		4		137472	Z
5352		1		108812	Z
5353		2		266955	Z
5382		5		266954	Z
5383		5		258982	A
5384		4		252440	Z
5385		8		257232	R
5386		3		233505	D
5387		6		189903	E
5388		4		246008	H
5390		6		158429	Z
5391		1		203443	A
5392		5		267613	R
5393		5		287629	A
5394		4		237254	A
5395		1		305780	Z
5396		6		225960	H
5397		1		156747	A
5398		2		200622	A
5399		4		327499	Z
5400		5		291160	A
5401		5		373529	A
5402		1		426930	A
5403		3		371599	A
5404		6		275709	A
5405		5		334602	Z
5406		7		344879	E
5407		6		403099	A
5408		6		444704	A
5409		1		117081	H
5410		2		141843	A
5411		1		133278	D
5412		5		259932	Z
5413		1		282549	A
5414		6		299590	A
5415		6		231029	R
5416		2		305127	Z
5417		1		100588	E
5418		1		85798	A
5421		7		305601	H
5422		1		241497	A
5423		1		288282	D
5424		1		274114	A
5425		7		274586	Z
5426		2		421417	A
5427		2		240626	Z
5428		4		182545	A
5429		1		149477	Z
5430		1		86266	A
5431		1		238715	E
5432		6		254955	A
5433		2		151042	D
5434		7		263983	Z
5435		7		222836	A
5436		6		217000	Z
5437		8		235881	A
5438		7		317939	A
5439		6		493579	A
5440		7		315986	R
5441		1		229230	A
5442		1		274061	A
5443		2		166722	D
5444		1		240722	A
5445		6		190414	H
5446		3		301721	Z
5447		1		767178	A
5448		2		222980	Z
5449		8		306980	Z
5450		1		323848	R
5451		1		191940	R
5452		1		146872	D
5453		2		466158	E
5454		7		258198	A
5455		7		348790	Z
5456		3		407049	A
5457		9		361517	H
5458		5		302194	A
5459		1		175078	A
5460		7		345477	Z
5461		2		283462	A
5462		2		233025	A
5463		8		221572	E
5464		3		202700	D
5465		8		232134	Z
5466		1		117854	Z
5467		8		213762	H
5468		1		142837	R
5469		1		54670	A
5471		2		276427	E
5472		3		221080	D
5473		2		696375	A
5474		2		247720	R
5475		4		308208	A
5476		6		370317	A
5477		7		264336	H
5478		4		493167	Z
5479		1		198502	Z
5480		1		27719	A
5481		1		91409	A
5482		3		325980	A
5483		3		353729	A
5484		8		291879	A
5485		1		169188	R
5486		1		213007	H
5487		8		283223	Z
5488		8		278431	Z
5489		1		68536	A
5490		1		149818	A
5491		3		475060	A
5492		3		520566	A
5493		3		439431	E
5494		1		501844	A
5495		4		371968	D
5496		7		406556	Z
5497		5		412482	Z
5498		1		83319	A
5499		1		143203	A
5500		1		62881	A
5501		4		448518	A
5502		4		486708	A
5503		3		333980	R
5504		1		221880	A
5505		5		429012	A
5506		1		400719	H
5507		1		442481	Z
5508		9		387072	Z
5509		1		2300	A
5510		1		81761	A
5511		1		92769	A
5512		2		182731	Z
5513		4		255106	D
5514		1		256151	A
5515		2		371244	A
5516		2		222838	E
5517		9		340496	Z
5518		1		248214	A
5519		2		156240	Z
5520		1		254559	A
5521		1		64899	A
5522		1		74045	A
5523		1		282780	A
5524		1		296773	A
5525		1		272087	Z
5526		4		386123	R
5527		1		300465	A
5528		1		293688	A
5529		2		300246	Z
5530		5		297326	A
5531		2		438408	H
5532		2		346965	Z
5533		1		288401	A
5534		1		67973	A
5535		1		77252	A
5536		2		206354	Z
5537		2		388946	A
5538		1		110760	Z
5539		1		72499	E
5540		2		138867	A
5541		1		88721	D
5542		2		118033	A
5543		1		123270	H
5544		1		126912	Z
5545		1		212664	A
5546		5		381120	A
5547		5		367680	A
5548		1		266546	R
5549		1		116032	A
5550		1		195538	D
5551		1		262570	E
5552		1		327501	Z
5553		3		363373	Z
5554		1		375847	A
5555		1		133015	A
5556		2		156287	A
5557		1		127026	E
5558		5		209944	D
5559		1		292165	A
5560		1		207691	Z
5561		1		174176	Z
5562		1		403209	A
5563		1		196998	Z
5564		1		155960	A
5565		3		268129	H
5566		1		428344	A
5567		2		170219	R
5568		2		48336	A
5569		3		131792	A
5570		1		52391	A
5571		1		143354	E
5572		1		165037	A
5573		1		205520	R
5574		1		150632	Z
5575		1		211398	A
5576		1		218139	D
5577		2		154162	Z
5578		2		351202	A
5579		1		209842	A
5580		1		362274	A
5581		2		373452	Z
5582		1		301135	A
5583		1		143354	H
5584		2		179196	A
5585		2		203208	A
5586		2		242397	A
5587		1		157523	A
5588		2		13924	Z
5589		1		97796	A
5590		6		265612	A
5591		1		213638	D
5592		1		179370	Z
5593		1		277686	A
5594		2		228865	E
5595		2		191261	Z
5596		4		281732	H
5597		1		284697	A
5598		2		388958	A
5599		1		242014	Z
5600		1		471912	A
5601		2		312625	R
5602		1		408196	A
5603		1		393098	Z
5604		1		207395	E
5605		1		249916	A
5606		2		228155	Z
5607		1		92349	A
5608		1		106671	A
5609		6		374169	R
5610		1		207625	E
5611		2		281920	A
5612		3		248481	H
5613		3		369097	Z
5614		2		377812	A
5615		1		372660	Z
5616		2		298489	D
5617		2		425129	A
5618		1		190246	E
5619		2		274151	Z
5620		2		405686	A
5621		3		374652	A
5622		2		407153	Z
5623		1		188139	A
5624		1		104406	A
5625		1		138285	A
5626		1		148315	A
5627		2		308393	D
5628		2		244587	Z
5629		3		395577	E
5630		2		366601	A
5631		2		373661	R
5632		2		392921	A
5633		1		365615	Z
5634		2		330506	A
5635		2		253778	H
5636		2		325845	Z
5637		1		27143	Z
5638		3		217055	A
5639		1		170848	Z
5640		1		118007	A
5641		1		133460	A
5642		2		374475	A
5643		1		213744	H
5644		2		263014	E
5645		1		256424	D
5646		1		268643	R
5647		3		302855	Z
5648		1		9162	A
5651		2		126099	R
5652		2		183534	E
5653		1		135168	D
5654		2		332918	A
5655		4		252345	Z
5656		2		127951	H
5657		3		273945	A
5658		2		283226	Z
5659		1		20829	A
5660		3		216087	R
5661		1		353214	A
5662		5		235974	H
5663		2		295332	Z
5664		3		293529	A
5665		3		258232	E
5666		3		210177	D
5667		1		14365	A
5668		3		159664	Z
5669		1		162973	A
5670		1		345644	A
5671		1		366032	A
5672		1		300599	E
5673		3		337695	Z
5675		1		94656	Z
5676		1		327262	R
5677		1		307598	H
5678		1		437248	Z
5679		1		125499	A
5680		1		225831	E
5681		1		319972	Z
5682		1		280655	D
5683		3		399280	A
5685		1		425982	A
5686		3		550326	A
5687		3		97915	A
5688		3		103407	Z
5689		1		169836	Z
5690		1		193085	A
5691		3		167360	A
5692		2		211170	H
5693		3		206847	D
5694		1		377739	A
5695		1		222754	R
5696		3		417081	A
5697		3		351955	Z
5698		4		477332	A
5699		3		191788	E
5700		3		344024	Z
5701		4		112025	Z
5702		1		85736	A
5703		2		302228	A
5704		1		66660	A
5705		1		94568	E
5706		1		113528	H
5707		2		301339	A
5708		1		342864	Z
5709		1		257494	A
5710		4		331457	A
5711		4		272708	A
5712		4		355182	Z
5713		2		137377	Z
5714		4		184178	A
5715		1		104987	E
5716		1		70019	D
5717		1		102134	Z
5718		2		4076	A
5719		3		196095	Z
5720		2		286367	A
5721		2		587485	A
5722		2		542864	A
5723		2		337619	R
5724		2		455873	Z
5725		1		318962	A
5726		2		422228	D
5727		2		251738	H
5728		2		12043	A
5729		1		238739	D
5729		1		235436	E
5730		1		50133	A
5732		1		379979	A
5733		3		169540	E
5733		3		203831	H
5734		2		638350	A
5735		1		210368	D
5735		1		163118	R
5736		1		317891	Z
5737		4		335877	Z
5738		2		191426	A
5739		1		170754	Z
5740		1		15286	D
5740		1		15824	R
5740		1		207268	Z
5741		4		316932	A
5742		3		472276	A
5743		1		487580	A
5744		4		425315	Z
5745		4		424629	Z
5746		2		245825	H
5746		2		242970	E
5747		2		280454	R
5747		2		279375	D
5747		2		41289	Z
5748		2		514745	A
5749		3		187501	Z
5750		4		260850	A
5751		1		118219	H
5751		1		118622	E
5751		1		166960	A
5752		5		438745	A
5753		2		26780	R
5753		2		26710	D
5753		2		152254	Z
5754		1		199792	A
5755		3		6575	H
5755		3		62181	E
5755		3		458871	A
5756		3		9354	A
5757		2		53611	H
5757		2		371726	A
5758		5		21261	R
5758		5		1304	A
5758		5		452929	Z
5758		5		81367	D
5759		5		717	A
5759		5		71052	D
5759		5		131696	R
5759		5		280449	Z
5760		1		397164	A
5761		2		469730	A
5762		1		117920	A
5764		2		580984	A
5765		4		550297	Z
5766		1		109129	A
5766		1		114384	Z
5767		1		123088	H
5767		1		57799	E
5768		4		621000	A
5769		3		570286	A
5770		1		594590	A
5771		2		178405	E
5771		2		233308	H
5772		1		92885	Z
5773		2		186817	R
5773		2		243603	D
5774		5		7461	H
5774		5		645273	Z
5776		1		190760	A
5777		1		63472	E
5777		1		138634	A
5778		1		186452	Z
5779		1		89718	R
5780		3		346247	A
5781		5		20748	E
5781		5		122015	Z
5781		5		20749	R
5781		5		20749	D
5781		5		20748	H
5781		5		127232	A
5782		4		540999	Z
5783		4		479282	A
5784		6		422870	Z
5785		3		167057	D
5785		3		227551	R
5786		5		230989	E
5786		5		163367	H
5787		1		579259	A
5788		6		458912	A
5789		1		295918	A
5791		1		297075	A
5792		1		10236	A
5792		1		353917	H
5793		3		383463	E
5793		3		51489	A
5794		1		670576	A
5795		1		323155	D
5795		1		15250	R
5795		1		35	A
5796		6		609540	Z
5797		2		420050	A
5798		2		202883	Z
5799		3		322404	A
5800		1		110981	A
5801		1		192501	R
5802		1		98807	A
5803		1		115117	Z
5804		1		16251	A
5805		3		482041	A
5806		1		633149	A
5807		3		386281	R
5808		5		610377	Z
5809		2		673996	A
5810		3		349337	D
5811		2		372570	H
5812		2		454402	A
5813		1		382737	E
5814		1		255036	Z
5815		2		45893	A
5816		1		415830	A
5817		1		220792	Z
5818		2		142795	Z
5819		1		143409	A
5820		5		564679	A
5821		2		350272	R
5822		2		256809	H
5823		1		418084	A
5824		1		515385	Z
5825		1		312706	Z
5826		1		329497	A
5827		1		133397	E
5828		1		662950	A
5829		2		285671	A
5830		2		393392	A
5831		4		538699	Z
5832		1		354706	D
5832		1		102127	Z
5833		1		190659	A
5834		1		168527	A
5835		1		243016	Z
5836		1		238136	D
5837		3		408201	A
5838		1		413922	A
5839		1		308074	Z
5840		2		235925	R
5841		2		364441	A
5842		1		315634	E
5843		4		339926	Z
5844		3		225200	A
5844		3		95806	Z
5845		4		9738	R
5845		4		266649	H
5845		4		9738	D
5846		1		428485	A
5847		1		215192	A
5848		1		184994	A
5849		4		165842	A
5850		3		108139	H
5851		2		158049	Z
5852		1		116112	E
5853		2		108528	R
5854		2		105178	D
5855		3		329494	Z
5856		1		328550	A
5857		2		376120	A
5858		1		275812	A
5859		2		270810	A
5860		1		258040	Z
5861		1		175386	Z
5862		2		164445	A
5863		2		102391	E
5865		1		131368	R
5866		1		317734	A
5867		1		112502	H
5868		2		105948	A
5869		4		135152	E
5870		5		201270	Z
5871		2		141744	D
5872		3		10650	A
5873		6		484112	Z
5874		4		495689	A
5875		1		481477	A
5877		1		184201	Z
5878		1		332276	A
5879		1		154124	R
5880		1		79134	A
5880		1		210945	H
5881		2		180345	E
5882		3		156909	D
5884		1		21752	A
5885		1		506579	A
5886		1		765054	A
5887		3		441187	A
5888		1		203396	A
5889		4		277917	Z
5890		4		95953	D
5891		2		93759	R
5894		3		163907	Z
5895		4		201057	E
5896		1		172992	D
5897		1		145077	R
5898		2		201787	H
5899		3		243773	A
5900		1		858260	A
5901		1		608895	A
5902		3		548442	A
5903		2		875460	Z
5905		2		137743	R
5906		1		168128	E
5907		2		265672	A
5908		4		156532	R
5909		1		227894	Z
5910		3		137363	D
5911		3		562488	A
5912		2		3268	A
5912		2		157236	H
5913		1		190311	D
5914		2		154693	E
5915		2		143098	R
5916		1		174323	H
5917		1		419145	A
5918		3		492822	Z
5919		3		315560	A
5920		3		276077	A
5921		3		52014	A
5922		4		380814	A
5923		1		240279	R
5924		1		230773	H
5925		1		303309	Z
5926		2		242049	D
5927		1		193654	E
5928		2		168700	Z
5929		2		299113	A
5930		1		155757	A
5931		1		177977	H
5932		1		243002	A
5933		3		159318	Z
5934		2		3229	A
5934		2		337508	H
5935		1		549047	A
5936		1		3226	A
5936		1		384864	D
5937		1		3226	A
5937		1		377457	E
5938		1		375435	Z
5939		1		363799	R
5939		1		3226	A
5940		3		548580	Z
5941		1		548102	A
5942		2		5301	E
5942		2		269317	A
5943		2		2217	D
5943		2		2217	R
5943		2		249027	Z
5944		2		259871	A
5945		3		229509	Z
5945		3		2217	H
5945		3		2217	E
5946		1		259871	A
5947		1		205086	Z
5948		1		201671	A
5949		1		76009	A
5950		2		222581	D
5951		1		243038	R
5952		4		353072	Z
5953		1		500152	A
5954		3		230459	H
5955		1		269436	A
5956		2		501660	Z
5957		2		436072	A
5958		1		230443	E
5959		2		438592	A
5960		1		30718	Z
5962		5		383564	Z
5963		1		206524	H
5964		2		209662	D
5965		1		218010	R
5966		1		332299	Z
5967		1		482372	A
5968		2		460014	A
5969		2		303502	A
5970		3		331830	A
5971		1		315194	Z
5972		2		354119	A
5973		2		229601	E
5974		1		385591	A
5975		4		372692	A
5976		1		215917	Z
5977		4		280205	Z
5978		2		190552	A
5979		3		119443	Z
5980		1		31429	A
5981		1		273623	D
5982		1		369301	Z
5983		1		399848	Z
5984		1		492095	A
5985		2		280528	R
5986		2		458616	A
5987		1		243578	H
5987	A	2		238106	E
5988		4		541235	A
5989		2		191002	E
5991		3		204227	A
5992		2		272746	Z
5993		2		349733	A
5994		2		303309	Z
5995		1		103993	Z
5996		3		197903	A
5997		1		102479	A
5998		3		246416	A
5999		1		99024	Z
6000		2		296996	A
6001		2		244762	E
6001		2		18360	A
6002		2		232112	H
6002		2		18360	A
6003		2		420963	A
6004		2		8160	Z
6004		2		9180	A
6004		2		269894	D
6005		1		395157	A
6006		2		290168	Z
6007		3		283712	R
6007		3		9180	A
6007		3		8160	Z
6008		3		316514	Z
6009		2		152844	E
6010		1		197570	A
6011		1		494440	A
6012		4		244682	Z
6013		3		399298	Z
6014		4		308921	A
6015		4		517253	A
6016		1		118435	A
6018		1		297691	Z
6019		3		275683	Z
6020		2		230599	A
6021		3		158162	R
6021		3		14688	A
6022		3		302626	A
6023		4		177499	D
6023		4		14688	A
6024		5		444059	A
6025		4		14688	A
6025		4		172194	H
6026		3		439825	A
6027		2		208331	E
6027		2		14688	A
6028		2		510028	Z
6029		3		454720	A
6030		2		346652	A
6031		2		337913	A
6032		1		198329	A
6032		1		5686	E
6032		1		3641	H
6033		2		121384	R
6033		2		155424	D
6034		3		233251	H
6035		2		2483	A
6035		2		2686	D
6035		2		5823	R
6035		2		155297	Z
6037		3		528396	A
6038		3		545998	Z
6039		1		320669	E
6040		1		158721	A
6041		2		319666	Z
6042		2		305820	R
6043		1		153126	Z
6044		1		439974	A
6045		3		310440	H
6046		2		444110	A
6047		1		290520	D
6048		3		350103	A
6050		2		324569	Z
6051		1		339206	A
6052		3		333965	A
6053		3		405021	A
6054		2		736	Z
6054		2		104924	R
6054		2		123636	D
6055		1		1491	A
6055		1		87049	H
6055		1		93679	E
6056		1		4271	D
6056		1		4922	R
6056		1		8531	H
6056		1		8800	E
6056		1		197120	A
6057		1		88250	Z
6058		4		322882	R
6059		3		420081	E
6060		4		332869	A
6061		3		4906	R
6061		3		366223	Z
6062		3		386850	Z
6063		1		307620	H
6064		4		360107	A
6065		3		328335	A
6066		1		532466	A
6067		5		419407	D
6067		5		2307	R
6068		2		295213	Z
6069		5		174190	A
6070		2		135084	Z
6071		5		259581	A
6072		2		394801	A
6073		3		363445	A
6074		1		248789	H
6075		2		1989	R
6075		2		375463	Z
6076		1		293664	A
6077		1		215727	Z
6078		2		1653	H
6078		2		4983	E
6078		2		5203	R
6078		2		5363	D
6078		2		175767	A
6079		3		380207	Z
6080		4		344345	E
6081		3		404954	R
6082		2		597438	A
6083		4		402625	A
6084		2		292170	H
6085		4		607176	Z
6086		4		355093	D
6087		4		412996	A
6088		4		353907	A
6089		6		577716	A
6090		2		162642	Z
6091		2		359144	A
6092		3		242348	Z
6093		2		192670	A
6094		1		23553	A
6094		1		127193	H
6095		3		129397	E
6095		3		42503	A
6096		1		137176	R
6096		1		22048	Z
6096		1		10217	D
6097		1		199840	Z
6098		3		280841	D
6099		2		205670	A
6100		2		198787	E
6101		3		309623	A
6102		4		294885	Z
6103		3		395389	A
6104		1		302131	Z
6105		2		411469	A
6106		4		314187	R
6107		2		242131	Z
6108		5		208029	A
6109		1		181051	Z
6110		1		196017	A
6111		3		327086	A
6112		2		231219	H
6113		5		174745	Z
6114		4		802	R
6114		4		805	D
6114		4		237135	A
6115		3		94089	E
6115		3		202534	H
6116		2		240785	A
6117		2		72540	Z
6117		2		60374	A
6118		3		230083	Z
6119		4		237620	Z
6120		3		178091	Z
6121		3		250786	A
6122		2		170889	H
6123		1		349050	A
6123		1		48396	H
6124		1		32033	E
6124		1		361453	A
6125		4		35625	Z
6125		4		261073	D
6126		1		229310	R
6126		1		119681	Z
6127		4		288745	A
6128		3		252296	Z
6129		1		273216	A
6130		4		265711	Z
6131		2		270101	A
6132		1		256747	A
6133		5		352551	A
6134		1		72612	A
6134		1		15716	Z
6134		1		6985	H
6134		1		6789	R
6134		1		6666	D
6134		1		7287	E
6135		1		7984	Z
6135		1		15896	A
6136		4		230825	R
6137		2		194845	H
6138		3		203517	D
6139		2		305952	Z
6140		1		382204	Z
6141		1		307539	A
6142		5		307859	A
6143		4		407957	A
6144		3		421000	A
6145		1		424128	A
6146		1		391336	A
6147		4		348456	Z
6148		2		202121	E
6149		2		689	E
6149		2		193684	H
6150		4		886	Z
6150		4		230712	D
6150		4		677	R
6151		3		23877	Z
6151		3		5784	R
6151		3		5763	E
6151		3		120432	A
6152		1		6671	A
6153		2		255260	H
6154		1		354061	Z
6155		5		269994	R
6156		4		281752	E
6157		3		501162	A
6158		1		222792	D
6159		2		355282	A
6160		1		221789	A
6161		1		422831	A
6162		1		419931	A
6163		1		372686	Z
6164		2		197567	Z
6165		1		601	H
6165		1		755	A
6165		1		102311	E
6166		1		601	D
6166		1		601	Z
6166		1		108245	R
6167		1		5588	D
6167		1		5648	H
6167		1		41835	A
6167		1		108929	Z
6168		5		274790	D
6169		2		219527	A
6170		3		234829	H
6171		1		477485	A
6172		2		251690	Z
6173		1		370670	A
6174		5		422648	Z
6175		5		273316	R
6176		1		200304	E
6177		4		189866	A
6178		1		4872	A
6178		1		230997	Z
6179		2		372754	Z
6179		2		4872	A
6180		6		422021	A
6181		3		273729	A
6182		2		275173	A
6183		3		594	D
6183		3		594	Z
6183		3		300302	A
6183		3		594	R
6184		1		594	H
6184		1		205107	E
6185		1		43313	A
6185		1		9158	D
6185		1		10063	H
6185		1		29333	Z
6185		1		120534	R
6187		1		242042	H
6188		1		341983	A
6189		1		431605	Z
6190		1		361092	A
6191		4		284954	A
6192		2		229486	R
6193		1		297282	D
6194		3		228491	E
6195		3		311008	Z
6196		1		78069	Z
6196		1		278620	A
6197		1		5530	A
6197		1		185516	Z
6198		1		269748	A
6199		5		17296	A
6199		5		381860	Z
6200		4		550962	A
6201		2		339782	A
6202		1		595	R
6202		1		595	D
6202		1		233051	Z
6203		1		595	E
6203		1		748	A
6203		1		165517	H
6204		2		6731	E
6204		2		7085	H
6204		2		7246	R
6204		2		7646	D
6204		2		29811	Z
6204		2		182530	A
6209		1		190757	E
6210		6		232554	R
6211		3		219146	D
6212		4		378745	A
6213		2		26763	A
6214		1		304826	Z
6215		1		400499	A
6216		2		335299	Z
6217		6		265177	A
6218		1		325230	A
6219		5		295685	H
6220		2		271876	Z
6221		3		285296	A
6222		1		248984	A
6223		5		336505	A
6224		2		215959	A
6224		2		107955	Z
6225		2		334937	Z
6226		2		328852	A
6227		3		375	R
6227		3		375	D
6227		3		375	Z
6227		3		236787	A
6228		1		375	H
6228		1		197945	E
6229		1		5688	E
6229		1		5550	H
6229		1		5610	R
6229		1		5561	D
6229		1		24196	Z
6229		1		145114	A
6230		1		6552	E
6230		1		6551	H
6230		1		6720	R
6230		1		6754	D
6230		1		24692	Z
6230		1		174015	A
6231		1		187302	A
6232		1		40256	E
6233		2		441847	A
6234		4		207320	E
6235		2		360840	Z
6236		2		253023	H
6237		1		417112	A
6238		1		340347	A
6239		6		320238	Z
6240		1		266107	R
6241		2		246273	D
6242		1		316205	A
6243		1		277675	A
6243		1		8575	H
6244		3		4531	Z
6244		3		296846	A
6245		2		217082	A
6246		1		313212	Z
6247		3		198581	Z
6248		1		681	H
6248		1		184974	E
6249		2		375	R
6249		2		431	Z
6249		2		258185	D
6251		1		495687	Z
6252		4		272972	A
6253		1		234292	E
6254		3		274561	D
6255		3		46513	E
