number	number_sup	trip	trip_sup	invoice	chamber 
6256		2		323695	R
6257		1		244937	H
6258		2		235595	Z
6259		6		532042	A
6260		5		539454	A
6261		1		280204	A
6262		4		410618	A
6263		2		224241	Z
6264		2		401574	A
6265		3		234477	Z
6266		1		240981	A
6267		2		242209	A
6268		3		235737	Z
6269		3		376	H
6269		3		376	E
6269		3		376	A
6269		3		222067	R
6269		3		376	D
6270		3		227623	Z
6271		1		136518	A
6271		1		6948	D
6271		1		6797	R
6271		1		6871	H
6271		1		6903	E
6271		1		27176	Z
6273		3		501588	A
6274		2		304552	D
6275		7		371885	A
6276		1		266827	A
6277		2		261824	E
6278		1		64750	E
6279		2		316634	R
6280		2		444827	Z
6281		1		277240	H
6282		2		290373	A
6282		2		8550	E
6283		1		175281	A
6284		1		153862	Z
6284		1		8550	R
6285		2		8652	D
6285		2		254141	Z
6286		1		691	A
6286		1		241382	H
6286		1		377	E
6287		4		243248	Z
6287		4		377	D
6287		4		377	R
6288		1		7479	E
6288		1		7158	H
6288		1		7382	R
6288		1		7331	D
6288		1		28472	Z
6288		1		147619	A
6289		2		203195	Z
6290		4		181566	H
6291		2		243277	A
6292		2		177287	E
6293		3		182628	R
6294		3		242090	D
6295		4		243272	Z
6296		2		174877	E
6297		2		226055	A
6298		2		204159	A
6299		1		324454	Z
6300		2		385123	A
6301		5		308204	A
6302		3		402294	A
6303		2		212492	A
6304		2		196942	Z
6305		2		272890	Z
6306		2		385392	A
6307		1		377	Z
6307		1		158018	D
6307		1		377	R
6308		6		377	H
6308		6		377	E
6308		6		220143	A
6309		2		10140	E
6309		2		10367	H
6309		2		10534	R
6309		2		10518	D
6309		2		30844	Z
6309		2		170525	A
6310		4		430394	A
6311		3		224369	E
6312		6		409760	A
6313		2		409993	A
6314		4		310441	H
6315		1		372113	A
6316		2		235114	E
6317		8		366581	A
6318		5		223228	H
6319		1		272850	R
6320		2		297773	A
6320		6		303184	D
6321		2		405016	Z
6322		3		372114	A
6323		2		272850	R
6324		1		119485	D
6325		5		280108	R
6326		3		401340	Z
6327		3		307825	A
6328		3		297331	Z
6329		2		194057	Z
6331		4		190453	Z
6332		3		304834	A
6333		1		357406	A
6334		2		189423	E
6335		3		204653	A
6336		3		6430	D
6336		3		6506	R
6336		3		6772	H
6336		3		6777	E
6336		3		25441	Z
6336		3		129151	A
6337		4		68681	A
6338		2		53094	Z
6339		3		143236	Z
6340		3		165601	E
6341		1		164176	R
6342		2		37127	A
6343		1		532853	A
6344		1		433905	Z
6345		3		386048	A
6346		3		172173	H
6347		2		308696	Z
6348		3		196005	D
6349		1		439334	A
6350		4		193702	H
6351		3		235350	A
6352		3		273600	R
6353		3		156931	E
6354		3		282715	D
6355		3		291334	A
6356		3		285591	Z
6357		1		174245	A
6358		1		257234	A
6359		2		86723	A
6360		2		279492	A
6361		4		241727	A
6361		4		108708	Z
6362		5		234351	Z
6362		5		376	R
6362		5		376	D
6363		1		376	E
6363		1		376	H
6363		1		242853	A
6364		2		5470	R
6364		2		5594	D
6364		2		20012	Z
6364		2		162773	A
6364		2		5569	E
6364		2		5532	H
6365		1		72184	R
6366		5		176611	H
6367		3		183688	D
6368		1		482453	A
6369		4		351539	A
6370		4		267794	R
6371		3		147147	E
6372		1		321417	A
6373		1		167404	R
6374		1		54277	A
6375		2		314274	Z
6377		3		415753	Z
6378		6		259158	H
6379		3		165247	E
6380		1		66836	Z
6381		7		453250	A
6382		6		237125	D
6383		4		407223	Z
6384		1		132677	Z
6384		1		259057	A
6385		3		280814	A
6386		2		14129	A
6386		2		226211	Z
6387		1		302289	A
6388		1		151427	Z
6389		2		176652	A
6390		1		376	Z
6390		1		376	A
6390		1		221285	E
6391		1		376	R
6391		1		376	D
6391		1		176154	H
6392		1		77121	A
6393		1		6751	E
6393		1		6628	H
6393		1		6582	R
6393		1		6678	D
6393		1		26751	Z
6393		1		101659	A
6394		4		462000	A
6395		1		567703	A
6396		1		228737	Z
6397		3		387003	Z
6398		2		389327	Z
6399		2		207043	R
6400		1		259285	H
6401		3		256652	E
6402		1		265889	D
6403		2		242740	A
6404		1		237831	A
6405		2		53170	A
6406		4		455352	A
6407		4		270812	A
6408		2		505635	A
6409		1		186027	Z
6410		3		158811	A
6411		3		222991	A
6412		5		163914	A
6413		2		280489	A
6414		4		229869	Z
6415		1		377	D
6415		1		377	Z
6415		1		257708	R
6416		3		377	E
6416		3		377	H
6416		3		254332	A
6417		3		6937	E
6417		3		6875	H
6417		3		6956	R
6417		3		7021	D
6417		3		27440	Z
6417		3		151265	A
6418		4		209941	D
6419		4		393453	A
6420		3		157599	H
6421		2		353733	A
6422		2		474072	A
6423		3		153633	E
6424		3		273786	Z
6425		1		590644	A
6426		5		202155	A
6427		4		289947	A
6428		1		708122	A
6429		2		208208	A
6430		2		173497	D
6431		3		350128	A
6432		3		302023	R
6433		1		511879	Z
6434		2		175766	E
6435		2		9135	E
6435		2		251800	A
6436		5		3654	A
6436		5		9135	R
6436		5		199518	Z
6437		2		9135	H
6437		2		283313	A
6438		4		179436	A
6439		3		9140	D
6439		3		155678	Z
6440		2		65899	R
6441		1		64379	A
6442		5		377	D
6442		5		377	Z
6442		5		248740	R
6443		2		76919	A
6444		1		377	E
6444		1		377	H
6444		1		259139	A
6445		4		175555	H
6446		2		61974	A
6447		3		8216	E
6447		3		8310	H
6447		3		8323	R
6447		3		155489	A
6448		1		659875	A
6449		2		88921	A
6450		1		97484	A
6451		4		126484	Z
6451		4		392	A
6452		2		84434	A
6453		1		199507	A
6453		1		415501	Z
6454		1		592574	A
6455		4		150942	E
6456		1		308156	D
6457		6		144536	H
6458		1		264524	A
6459		5		338191	A
6460		3		438049	Z
6461		4		258847	R
6462		2		57329	Z
6463		5		173819	H
6464		1		152903	E
6465		3		542933	A
6466		5		474675	Z
6467		1		251153	E
6468		1		341904	A
6469		4		341406	A
6470		1		252295	H
6471		2		338396	D
6472		2		73985	Z
6473		1		12877	E
6473		1		12944	H
6473		1		12991	R
6473		1		13069	D
6473		1		52029	Z
6473		1		140049	A
6474		3		80322	R
6475		2		103241	A
6476		1		11356	H
6476		1		77880	E
6477		1		106247	A
6478		1		104367	Z
6479		1		82773	D
6480		3		155347	A
6481		4		10718	A
6481		4		262677	Z
6482		2		698751	A
6483		4		255853	A
6484		2		439765	Z
6484		2		223183	A
6485		1		261211	A
6486		2		151512	Z
6487		6		509730	A
6488		3		508237	A
6489		4		276316	E
6490		3		208492	R
6491		1		518295	A
6492		1		74015	Z
6493		5		517267	A
6494		2		347039	D
6495		2		521852	A
6496		2		321741	H
6497		2		187337	R
6498		5		368007	Z
6499		1		341415	Z
6500		2		519052	Z
6501		1		272870	H
6502		3		75961	A
6503		3		261956	E
6504		1		345445	A
6505		3		342889	Z
6506		1		377	D
6506		1		289675	R
6507		1		20534	E
6507		1		20940	H
6507		1		20826	R
6507		1		83049	Z
6507		1		21012	D
6507		1		236320	A
6508		1		449504	A
6509		1		32800	E
6509		1		32895	H
6509		1		33121	R
6509		1		32769	D
6509		1		159377	Z
6510		4		317691	Z
6511		1		288328	A
6512		4		242314	A
6513		5		368388	Z
6514		1		658516	A
6515		5		250062	A
6516		2		435371	Z
6517		6		163813	Z
6518		3		116190	Z
6519		5		131714	A
6520		2		12090	Z
6520		2		142290	A
6521		2		453293	A
6522		1		273029	H
6523		2		331341	A
6524		2		279450	D
6525		1		279558	D
6526		1		266651	E
6527		6		346618	A
6528		5		265095	H
6529		3		69541	A
6530		3		263208	E
6531		5		361728	Z
6532		6		309330	R
6533		4		429510	A
6534		1		380	R
6534		1		271129	D
6535		1		279774	Z
6536		2		98367	H
6536		2		179099	E
6537		5		277245	A
6538		3		98926	Z
6539		2		8218	D
6539		2		181978	A
6539		2		32962	Z
6539		2		8390	E
6539		2		8326	H
6539		2		8360	R
6540		1		28552	R
6540		1		28527	D
6540		1		137166	Z
6541		2		28494	E
6541		2		28438	H
6541		2		237436	A
6542		3		457880	Z
6542		3		195837	A
6543		2		707660	A
6544		3		215243	A
6545		1		320770	Z
6546		4		9296	Z
6546		4		172916	A
6547		1		6238	Z
6547		1		306158	A
6548		2		499645	Z
6549		7		509658	A
6550		5		352045	A
6551		2		209982	R
6552		2		216693	R
6553		4		536546	A
6554		1		205377	E
6555		3		205537	E
6556		2		365876	A
6557		2		534053	A
6558		2		202495	H
6559		3		248408	H
6560		4		493413	Z
6561		5		342281	D
6562		3		522706	A
6563		3		55103	A
6564		3		495165	Z
6565		1		335692	H
6565		1		380	E
6566		1		367380	A
6567		2		380	D
6567		2		294748	Z
6567		2		380	R
6568		1		262676	A
6569		1		9895	E
6569		1		9827	R
6569		1		9966	D
6569		1		39757	Z
6569		1		105423	A
6569		1		9949	H
6570		3		29743	D
6570		3		29743	R
6570		3		156759	Z
6571		2		226903	A
6572		3		256561	A
6572		3		29743	H
6572		3		29743	E
6573		3		96805	A
6573		3		10279	D
6573		3		10255	R
6573		3		10189	H
6573		3		10188	E
6574		2		136189	E
6575		1		406164	A
6576		2		133751	D
6577		4		151855	R
6578		2		180857	H
6579		4		267419	Z
6580		6		362312	A
6581		3		246999	Z
6582		4		130701	H
6583		5		387793	A
6584		1		41945	A
6585		4		223229	A
6586		1		252358	A
6586		1		13840	Z
6587		1		143633	Z
6588		1		125534	Z
6588		1		92172	A
6589		3		324371	A
6590		4		179790	R
6591		2		194526	E
6592		1		435310	Z
6593		3		265865	D
6594		1		576708	A
6595		2		398221	Z
6596		1		414	D
6596		1		368884	R
6597		1		422442	A
6598		2		623530	A
6599		4		414	H
6599		4		289667	E
6600		1		7644	R
6600		1		7627	E
6600		1		108653	A
6600		1		30242	Z
6600		1		7727	D
6600		1		7709	H
6601		2		261525	Z
6601		2		523050	A
6602		1		373657	A
6603		3		371854	Z
6604		2		123129	D
6605		1		381338	A
6606		3		96463	E
6606		3		126147	H
6607		1		76575	A
6607		1		18260	Z
6607		1		4599	D
6607		1		4595	R
6607		1		4576	H
6607		1		4471	E
6608		1		185732	Z
6609		4		175226	A
6610		2		207470	A
6611		2		241111	A
6612		3		450632	Z
6613		6		381071	A
6614		1		143373	Z
6614		1		26486	A
6615		1		327524	A
6616		2		450539	Z
6617		2		238031	H
6618		3		313563	Z
6619		2		166647	H
6620		4		169791	D
6621		4		177254	E
6622		3		314144	A
6623		1		155105	R
6624		1		233893	D
6625		3		438174	A
6626		3		170228	E
6627		2		209441	R
6628		4		441807	A
6629		1		491512	A
6630		1		107461	A
6631		1		590	R
6631		1		247052	D
6632		1		419559	A
6633		4		223229	A
6634		2		281301	H
6634		2		609	E
6635		1		449395	Z
6636		1		60728	Z
6636		1		14486	H
6636		1		14440	R
6636		1		14669	D
6636		1		14408	E
6636		1		99251	A
6637		6		172857	H
6637		6		345714	A
6638		4		387632	A
6639		3		84927	R
6639		3		113318	D
6640		2		92094	H
6640		2		116508	E
6641		4		365852	A
6642		6		340105	Z
6643		1		5446	R
6643		1		4820	E
6643		1		78093	A
6643		1		20717	Z
6643		1		5402	D
6643		1		4917	H
6644		1		188108	E
6645		4		361352	A
6646		1		224871	R
6647		7		462138	A
6648		2		478918	A
6649		1		227257	H
6649	A	2		255534	A
6650		4		79562	A
6651		4		472421	Z
6652		6		192640	D
6653		2		477984	Z
6654		2		165490	E
6655		3		183717	D
6656		5		147619	R
6657		2		152720	H
6658		2		241333	A
6659		1		187656	A
6660		5		145400	Z
6660		5		55553	A
6661		3		102920	Z
6661		3		12531	A
6662		5		481845	A
6663		1		397835	Z
6664		1		492776	A
6665		3		361942	E
6665		3		1469	A
6666		2		332573	A
6667		5		148638	A
6668		2		365987	R
6668		2		1318	D
6669		1		432394	Z
6670		1		90318	A
6670		1		9365	D
6670		1		9248	R
6670		1		10339	H
6670		1		10211	E
6670		1		36498	Z
6671		2		219932	E
6672		3		220162	D
6673		4		26859	R
6673		4		53012	D
6674		5		228042	R
6675		1		358394	A
6676		3		224199	H
6677		4		154729	A
6678		3		504522	A
6679		3		436417	Z
6680		3		25449	E
6680		3		55135	H
6681		1		256430	A
6682		6		455751	A
6683		1		296314	Z
6684		3		104484	Z
6685		4		282715	A
6685		4		141358	Z
6686		4		162129	Z
6686		4		39540	A
6687		2		7809	Z
6687		2		209160	A
6688		2		296314	A
6689		4		197756	A
6690		2		33158	A
6690		2		168607	Z
6691		2		354480	A
6692		1		44138	A
6693		1		289663	A
6694		4		116221	A
6694		4		8956	H
6694		4		8956	E
6695		2		8258	H
6695		2		78801	A
6695		2		8258	E
6696		3		7650	D
6696		3		121400	Z
6696		3		7650	R
6697		2		104019	R
6698		3		180469	H
6699		4		178751	D
6700		2		289974	Z
6701		2		75847	Z
6701		2		8058	D
6701		2		8058	R
6702		1		460404	A
6703		2		324836	D
6703		2		1245	R
6704		1		344709	H
6705		5		293397	A
6706		1		123317	A
6706		1		48286	Z
6706		1		12074	D
6706		1		12027	R
6706		1		12126	H
6706		1		11949	E
6707		2		188774	A
6707		2		94387	Z
6708		4		567225	Z
6709		3		561738	A
6710		3		75639	Z
6711		4		134260	Z
6712		3		196820	E
6713		5		178784	D
6714		2		48408	D
6714		2		66467	R
6715		8		191864	A
6716		3		227856	R
6717		5		538775	A
6718		5		177525	H
6719		3		48685	E
6719		3		35431	H
6720		4		360031	A
6721		3		139759	A
6722		3		301418	Z
6723		3		180909	A
6724		5		134016	A
6725		5		22739	A
6725		5		155435	Z
6726		2		185455	A
6727		3		106645	Z
6728		2		88906	A
6729		2		20399	Z
6730		1		325886	E
6731		3		1100	E
6731		3		10270	H
6731		3		385890	A
6732		3		906	R
6732		3		230099	D
6733		1		247534	Z
6734		1		2005	E
6734		1		1982	H
6734		1		1978	R
6734		1		1997	D
6734		1		7560	Z
6734		1		155055	A
6735		2		3047	A
6735		2		59821	D
6735		2		70952	R
6736		3		287085	H
6737		4		201788	D
6738		2		575887	A
6739		3		220914	R
6740		3		5342	A
6740		3		57933	H
6740		3		68062	E
6741		1		234422	E
6742		5		211351	Z
6743		2		316907	A
6744		7		286919	A
6745		3		399517	Z
6746		1		183473	A
6747		6		239150	A
6748		2		7165	A
6748		2		177851	Z
6749		1		192443	A
6750		2		94576	A
6751		2		131275	Z
6752		2		303282	A
6753		6		278137	Z
6754		2		34376	Z
6755		2		361882	A
6756		3		300894	E
6757		2		286772	R
6758		4		220488	Z
6759		3		4415	E
6759		3		4436	H
6759		3		4372	R
6759		3		4406	D
6759		3		13661	Z
6759		3		92207	A
6760		1		249236	A
6761		1		136598	A
6762		4		211079	A
6763		4		217100	E
6764		6		210367	R
6765		4		33210	A
6765		4		47351	E
6765		4		57208	H
6766		3		273272	D
6767		5		625985	A
6768		4		253438	H
6769		5		38575	Z
6769		5		47122	R
6769		5		57311	D
6770		4		375702	Z
6771		2		164546	Z
6772		4		123107	A
6773		1		328031	A
6774		6		329701	A
6775		1		36418	A
6776		4		193190	Z
6777		5		182320	A
6778		1		105621	Z
6779		3		12180	H
6779		3		253491	A
6780		6		12180	E
6780		6		111111	A
6781		4		12215	D
6781		4		46017	A
6781		4		175890	Z
6782		3		12180	R
6782		3		117595	Z
6783		1		273961	A
6784		5		134808	Z
6785		2		69884	E
6785		2		210786	H
6786		4		322868	A
6787		6		213589	A
6788		2		12225	R
6788		2		209001	D
6789		2		307690	A
6790		2		66845	R
6790		2		67327	D
6790		2		153053	Z
6791		3		58771	E
6791		3		59017	H
6791		3		143902	A
6792		5		192972	A
6793		1		323178	Z
6794		5		322525	Z
6795		2		96748	A
6796		4		137120	E
6796		4		206410	H
6797		7		336556	A
6798		4		77106	R
6798		4		87177	D
6799		3		139407	D
6799		3		201532	R
6800		2		80485	H
6800		2		90319	E
6801		8		545250	A
6802		1		334008	A
6803		1		224956	Z
6804		1		331742	A
6805		3		109301	Z
6806		3		36799	Z
6806		3		198643	A
6807		3		122487	A
6808		3		147130	A
6809		1		133175	Z
6810		5		123697	A
6811		7		79471	A
6811		7		103053	Z
6812		1		249084	A
6813		5		263952	Z
6814		4		263475	A
6815		2		6890	E
6815		2		6970	H
6815		2		6887	R
6815		2		7012	D
6815		2		26196	Z
6815		2		82540	A
6816		4		5923	H
6816		4		502440	A
6817		5		204992	A
6818		1		3749	H
6818		1		35293	A
6819		4		48990	D
6819		4		63459	R
6820		3		141820	Z
6821		5		94219	R
6821		5		147240	D
6822		4		52788	E
6822		4		66577	H
6823		7		206632	A
6824		4		81695	H
6824		4		159191	E
6825		5		445907	Z
6826		5		134964	Z
6827		6		193538	A
6828		6		125357	D
6829		1		12330	Z
6829		1		117813	A
6830		3		123582	A
6831		1		134081	A
6832		6		174166	Z
6833		4		296380	Z
6834		2		254723	A
6835		1		312834	A
6836		7		2499	D
6836		7		149337	Z
6837		3		2499	E
6837		3		2499	H
6837		3		276105	A
6838		4		120367	R
6839		2		94321	E
6839		2		32556	H
6840		3		348647	A
6841		1		119002	H
6841		1		63191	E
6842		4		239965	A
6843		3		35750	R
6843		3		147267	D
6844		1		176391	Z
6845		4		2392	H
6845		4		2534	R
6845		4		2416	D
6845		4		9845	Z
6845		4		60463	A
6846		2		158964	D
6847		2		141918	A
6848		4		137472	Z
6849		4		188025	A
6850		4		166671	R
6851		1		405106	A
6852		2		140265	H
6853		4		225974	A
6854		5		338823	Z
6855		3		35910	A
6856		3		170566	E
6857		5		80316	E
6857		5		81436	H
6858		5		4830	E
6858		5		4780	H
6858		5		4831	R
6858		5		4821	D
6858		5		19088	Z
6858		5		58169	A
6859		1		51151	D
6859		1		80628	R
6860		8		10788	R
6860		8		10897	D
6860		8		117763	Z
6861		5		4520	E
6861		5		4520	H
6861		5		139898	A
6862		1		169816	Z
6863		2		219995	A
6864		1		183022	A
6865		5		243010	A
6866		3		126	A
6866		3		119144	Z
6867		4		41812	A
6867		4		116578	Z
6868		1		305185	A
6869		1		304677	A
6870		6		100506	R
6870		6		130187	D
6871		3		366956	A
6872		3		73759	H
6872		3		137440	E
6873		1		271267	A
6874		4		303950	Z
6875		2		11690	E
6875		2		14954	H
6875		2		15305	R
6875		2		11277	D
6875		2		36919	Z
6875		2		97135	A
6876		2		164315	E
6877		1		165711	D
6878		6		140188	A
6879		1		201168	R
6880		4		4424	E
6880		4		4465	H
6880		4		4465	R
6880		4		4463	D
6880		4		120031	A
6881		3		188555	H
6882		7		494820	A
6883		1		339445	A
6884		1		438206	Z
6885		6		159096	Z
6886		4		128081	A
6887		5		245878	A
6888		1		300417	A
6889		2		190636	Z
6890		1		34444	Z
6890		1		56518	A
6891		6		72736	E
6891		6		78004	H
6892		5		189955	Z
6893		1		199521	A
6894		1		147933	A
6895		1		3153	E
6895		1		136816	A
6896		4		85139	R
6896		4		71435	D
6897		2		300510	Z
6898		2		237447	A
6899		5		240299	Z
6900		2		239866	A
6901		1		325332	A
6902		1		104009	Z
6903		2		104584	A
6903		2		4213	D
6903		2		4034	R
6903		2		4077	H
6903		2		3995	E
6903		2		16413	Z
6904		2		122697	H
6904		2		143465	E
6905		1		320795	A
6906		2		193771	R
6907		4		138788	D
6907		4		106626	R
6908		3		254061	Z
6909		4		198815	D
6910		3		128668	A
6911		5		148747	A
6912		1		621260	A
6913		2		424831	A
6914		9		152017	Z
6915		1		194408	H
6916		3		92466	A
6917		3		182651	E
6918		1		111574	Z
6919		2		476408	Z
6920		2		106573	A
6921		1		219749	H
6922		2		223052	R
6923		4		189066	E
6924		3		162040	D
6924		3		11685	R
6925		1		337036	A
6926		1		251784	Z
6927		3		172427	Z
6928		2		202526	A
6929		5		176186	R
6930		1		26880	A
6930		1		99525	Z
6931		1		137916	A
6932		1		142179	Z
6933		6		339497	A
6934		1		304450	A
6935		3		13867	R
6935		3		144669	Z
6935		3		13823	D
6936		5		13151	E
6936		5		12571	H
6936		5		187766	A
6937		6		272896	H
6938		2		75102	A
6939		5		258556	Z
6940		1		347080	A
6941		3		208017	R
6942		6		155996	A
6943		4		210538	E
6944		1		226547	D
6945		1		233639	A
6946		7		378975	Z
6947		2		232242	Z
6948		6		69893	E
6948		6		320674	A
6948		6		17562	H
6949		4		87305	Z
6950		1		288693	Z
6951		1		353806	A
6952		1		45711	E
6952		1		80645	H
6953		1		159266	R
6954		4		121192	A
6955		1		433070	A
6956		5		60425	D
6956		5		51232	R
6957		1		127392	Z
6958		5		213322	A
6959		3		155994	A
6960		5		13195	A
6960		5		189496	Z
6961		5		202211	A
6962		1		82814	E
6962		1		65819	H
6963		5		11507	D
6963		5		11307	R
6963		5		280142	Z
6964		3		15787	E
6964		3		64183	A
6964		3		15632	H
6965		2		194248	A
6966		1		21609	R
6966		1		125203	Z
6966		1		21749	D
6967		1		222637	A
6968		2		236699	D
6969		1		373432	A
6970		2		214767	R
6971		5		144277	A
6972		2		140221	A
6973		3		250483	E
6974		2		222758	H
6975		6		148143	Z
6976		1		372085	A
6977		6		135916	Z
6978		3		263112	A
6979		2		310356	Z
6980		1		339771	A
6981		1		258345	Z
6982		2		220162	A
6982		2		110081	Z
6983		4		148442	Z
6984		3		106036	H
6984		3		35990	E
6985		1		111594	A
6986		10		167628	Z
6987		2		233639	A
6988		2		251084	E
6989		1		275175	A
6990		5		76419	D
6990		5		70346	R
6991		2		126954	A
6992		3		134915	A
6993		2		143531	A
6994		2		30266	Z
6994		2		97937	A
6995		1		175845	A
6996		1		175354	A
6997		3		194592	Z
6998		3		248156	H
6999		3		368732	Z
7000		6		239992	D
7001		3		366861	A
7002		1		244810	R
7003		1		414442	A
7004		4		24036	Z
7004		4		6089	H
7004		4		6062	D
7004		4		5999	R
7004		4		105562	A
7004		4		14166	E
7005		1		432221	A
7006		6		411822	A
7007		4		308075	Z
7008		1		329590	Z
7009		5		124888	D
7010		4		63209	E
7010		4		58106	H
7011		2		435408	A
7012		6		218451	A
7013		2		153214	Z
7014		3		161925	D
7015		2		194683	H
7015		2		116283	E
7016		1		248883	A
7016		1		122218	Z
7017		1		436549	A
7018		1		377834	A
7019		4		130345	Z
7020		2		200704	A
7021		4		346856	A
7022		3		250426	Z
7023		2		122804	A
7024		2		383945	A
7025		2		114364	A
7026		1		62203	A
7027		7		156464	A
7028		5		330678	Z
7029		2		161925	D
7030		1		254617	R
7031		1		243822	A
7032		4		189771	A
7033		1		200163	Z
7034		1		199384	A
7035		1		118187	Z
7036		3		83450	Z
7037		2		231354	H
7038		1		53135	A
7039		2		187807	Z
7040		2		33638	E
7040		2		33853	H
7040		2		137984	A
7041		2		324496	A
7042		7		258344	E
7043		2		163407	A
7044		7		233890	H
7045		7		176006	D
7046		2		164166	A
7047		3		54985	A
7048		2		223379	A
7049		3		257855	Z
7050		6		168170	Z
7051		3		164326	R
7052		2		309640	A
7053		3		384962	A
7054		5		191679	D
7054		5		191679	R
7055		3		379078	Z
7056		6		393732	A
7057		1		365244	A
7057		1		4130	E
7058		1		120966	Z
7059		1		329886	A
7060		3		125515	R
7060		3		87523	D
7061		5		124833	H
7061		5		127894	E
7062		4		348416	Z
7063		3		118927	A
7063		3		6090	E
7064		6		215867	A
7065		6		135884	Z
7065		6		15345	A
7065		6		6090	D
7066		5		158237	A
7067		4		114611	Z
7067		4		6090	R
7068		1		118809	A
7069		1		151244	A
7069		1		70	E
7069		1		70	H
7070		4		151670	A
7071		1		70	R
7071		1		70	D
7071		1		167990	Z
7072		6		142443	A
7073		1		12677	H
7073		1		84632	A
7073		1		13467	E
7074		2		150155	Z
7074		2		12961	D
7074		2		12738	R
7075		2		267574	A
7076		4		112605	E
7077		4		219366	H
7077		4		178933	E
7078		2		129948	A
7079		3		170859	R
7079		3		217483	D
7080		2		149222	Z
7081		5		349971	A
7082		3		205453	E
7082		3		205453	H
7083		1		439912	A
7084		3		417182	Z
7085		2		116483	D
7086		6		114086	R
7087		2		257883	Z
7088		1		165841	A
7089		2		115899	H
7090		2		525983	A
7091		3		152736	A
7092		1		2460	H
7092		1		162339	A
7093		7		2436	R
7093		7		94518	Z
7094		2		2436	H
7094		2		63446	A
7094		2		91940	Z
7095		4		2436	E
7095		4		146550	A
7096		3		71860	R
7096		3		72039	D
7096		3		82125	Z
7097		6		216321	Z
7098		4		59319	H
7098		4		61666	E
7098		4		74152	A
7099		7		329599	A
7100		2		319232	A
7101		2		166414	Z
7102		2		26627	R
7102		2		27235	D
7102		2		27241	E
7102		2		50103	A
7102		2		26678	H
7103		3		392299	A
7104		7		166985	Z
7105		3		391787	A
7106		3		118966	R
7107		1		357873	E
7108		2		173502	H
7109		1		473329	Z
7110		3		274849	D
7111		1		439274	Z
7112		1		440459	A
7113		4		445907	D
7114		3		431903	A
7115		2		131765	A
7116		4		130537	A
7117		3		534565	A
7118		2		107213	Z
7119		3		126370	A
7120		3		540436	Z
7121		5		324291	A
7122		1		309819	R
7123		2		340240	A
7124		2		417514	Z
7125		2		245663	H
7126		4		102934	Z
7126		4		207594	A
7127		7		48139	Z
7127		7		157339	A
7128		2		115153	A
7129		1		115602	A
7130		1		264363	A
7131		3		525755	A
7132		4		499637	E
7133		4		497035	Z
7134		1		246115	A
7135		1		217731	Z
7136		1		223131	E
7137		2		333255	D
7138		2		427213	A
7139		2		89289	H
7140		1		358841	A
7141		2		353395	R
7142		1		313545	A
7143		5		133707	Z
7144		1		156695	A
7145		6		98838	Z
7146		2		143003	A
7147		1		123436	A
7149		4		132613	A
7150		3			R
7150		3		125782	Z
7150		3			D
7151		3		339899	A
7152		6		150684	R
7153		4		339517	A
7154		2		234173	Z
7155		3		490835	A
7156		3		351978	H
7157		1		232177	D
7158		1		491458	A
7160		2		468875	A
7161		3		497100	Z
7163		1			D
7163		1		492786	R
7164		1		552499	Z
7165		5		121022	A
7166		1		166771	Z
7167		4		120731	A
7168		1		162842	A
7169		5		184357	A
